shared_name	name	involvement
Gorai.007G093500	GhGAUT1-3	homogalacturonan synthesis
Gorai.007G095900	GhQUA3-2	homogalacturonan synthesis
Gorai.007G125600	GhGALT7-2	homogalacturonan synthesis
Gorai.007G128800	GhXXT2-3	Xyloglucan
Gorai.007G142400	GhGAUT6-5	homogalacturonan synthesis
Gorai.007G150100	GhMUR3-1	Xyloglucan
Gorai.007G186900	GhAXY4-3	Xyloglucan
Gorai.007G188500	GhAXY9-2	Xyloglucan
Gorai.007G207000	GhGALT2-2	homogalacturonan synthesis
Gorai.007G216600	GhGXMT1-7	xylan-side chain synthesis
Gorai.007G216800	GhIRX14-2	xylan backbone synthesis
Gorai.007G227300	GhCGR2-4	homogalacturonan synthesis
Gorai.007G296600	GhGUX4-1	xylan-side chain synthesis
Gorai.007G323000	GhGlcAT14A-4	AGP synthesis
Gorai.007G334800	GhGSL02-1	callose synthesis
Gorai.007G359700	GhGALS1-2	Galactan backbone synthesis
Gorai.007G375700	GhGlcAT14C-1	AGP synthesis
Gorai.007G378600	GhTBL34-2	xylan backbone synthesis
Gorai.008G052100	GhGALS2-1	Galactan backbone synthesis
Gorai.008G059800	GhGAUT9-2	homogalacturonan synthesis
Gorai.008G070000	GhGALT2-3	homogalacturonan synthesis
Gorai.008G078100	GhGXMT1-6	xylan-side chain synthesis
Gorai.008G100100	GhCESA6-3	PCW
Gorai.008G100200	GhCESA9-1	PCW
Gorai.008G107800	GhGAUT1-4	homogalacturonan synthesis
Gorai.008G142800	GhGALT7-3	homogalacturonan synthesis
Gorai.008G156000	GhIRX10-3	xylan backbone synthesis
Gorai.008G165400	GhGXMT1-3	xylan-side chain synthesis
Gorai.008G179400	GhRRT4-2	RG-I backbone synthesis
Gorai.008G195000 	GhXXT3-2	Xyloglucan
Gorai.008G211000	GhIRX10L-2	xylan backbone synthesis
Gorai.008G260300	GhGALT31A-1	AGP synthesis
Gorai.008G283000 	GhGALT-2	Xyloglucan
Gorai.008G287900	GhXAT-2	xylan-side chain synthesis
Gorai.009G009500 	GhCESA1-1	PCW
Gorai.009G009700	GhCESA7-2	SCW
Gorai.009G010200	GhCESA1-2	PCW
Gorai.009G066500 	GhCSLC05-2	Xyloglucan
Gorai.009G086400	GhGALT29A-2	AGP synthesis
Gorai.009G094500	GhGALT3-1	homogalacturonan synthesis
Gorai.009G098600	GhMUR3-3	Xyloglucan
Gorai.009G157200	GhRWA1-1	xylan backbone synthesis
Gorai.009G161200	GhCESA8-1	SCW
Gorai.009G169400	GhRGI:GalAT1-2	RG-I backbone synthesis
Gorai.009G169700	GhGSL01-3	callose synthesis
Gorai.009G178900	GhAGP:GALT5-3	AGP synthesis
Gorai.009G185300	GhGAUT4-1	homogalacturonan synthesis
Gorai.009G205300	GhGALT1-3	homogalacturonan synthesis
Gorai.009G211400	GhGUX2-1	xylan-side chain synthesis
Gorai.009G222300 	GhCSLC12-1	Xyloglucan
Gorai.009G222600	GhCGR2-5	homogalacturonan synthesis
Gorai.009G236100	GhQUA2-1	homogalacturonan synthesis
Gorai.009G242100	GhAGP:GALT5-1	AGP synthesis
Gorai.009G255100	GhCESA6-4	PCW
Gorai.009G274300	GhGALT1-4	homogalacturonan synthesis
Gorai.009G277600	GhCSLC12-4	Xyloglucan
Gorai.009G280200	GhRRT6-1	RG-I backbone synthesis
Gorai.009G280800	GhQUA2-2	homogalacturonan synthesis
Gorai.009G284700	GhGUX1-4	xylan-side chain synthesis
Gorai.009G291300	GhGXMT1-4	xylan-side chain synthesis
Gorai.009G368400	GhAGP:GALT1-2	AGP synthesis
Gorai.009G372400	GhTBL31-1	xylan backbone synthesis
Gorai.010G012700	GhGALT1-5	homogalacturonan synthesis
Gorai.010G019500	GhGUX2-2	xylan-side chain synthesis
Gorai.010G028300	GhCSLC12-2	Xyloglucan
Gorai.010G031000	GhIRX9-2	xylan backbone synthesis
Gorai.010G038100	GhRRT6-2	RG-I backbone synthesis
Gorai.010G039800	GhQUA2-3	homogalacturonan synthesis
Gorai.010G046600	GhAGP:GALT5-2	AGP synthesis
Gorai.010G087600	GhRRT7-1	RG-I backbone synthesis
Gorai.010G089700	GhTBL30-4	xylan backbone synthesis
Gorai.010G116400	GhAGP:HPGT1-2	AGP synthesis
Gorai.010G120900 	GhCSLC05-3	Xyloglucan
Gorai.010G134500	GhCESA6-5	PCW
Gorai.010G153800	GhRGI:GalAT1-3	RG-I backbone synthesis
Gorai.010G190800	GhGAUT4-2	homogalacturonan synthesis
Gorai.010G194900	GhTBL32-1	xylan backbone synthesis
Gorai.010G239500	GhRWA1-4	xylan backbone synthesis
Gorai.010G255800	GhRGI:GalAT1-4	RG-I backbone synthesis
Gorai.011G037900	GhCESA8-2	SCW
Gorai.011G048300	GhAGP:GALT2-1	AGP synthesis
Gorai.011G096200	GhGlcAT14C-3	AGP synthesis
Gorai.011G096300	GhGlcAT14A-2	AGP synthesis
Gorai.011G096900	GhGSL07-1	callose synthesis
Gorai.011G116600	GhGUX1-3	xylan-side chain synthesis
Gorai.011G119900	GhGSL02-2	callose synthesis
Gorai.011G120300	GhGSL02-3	callose synthesis
Gorai.011G152000	GhMUR3-2	Xyloglucan
Gorai.011G202400	GhRWA1-3	xylan backbone synthesis
Gorai.011G290400	GhTBL32-3	xylan backbone synthesis
Gorai.012G036700	GhTBL30-3	xylan backbone synthesis
Gorai.012G040000	GhGSL07-2	callose synthesis
Gorai.012G049900	GhGAUT13-2	homogalacturonan synthesis
Gorai.012G058400	GhGALT10-1	homogalacturonan synthesis
Gorai.012G059500	GhAXY4-2	Xyloglucan
